|  题号  |  题解  |  标签  |  难度  | 备注 |
|  [0535](https://leetcode-cn.com/problems/encode-and-decode-tinyurl)  |  [TinyURL 的加密与解密](leetcode/0500-0599/0535.Encode%20and%20Decode%20TinyURL/README.md)  |  `哈希表`,`数学`  |  中等  |    |
|  [0536](https://leetcode-cn.com/problems/construct-binary-tree-from-string)  |  [从字符串生成二叉树](leetcode/0500-0599/0536.Construct%20Binary%20Tree%20from%20String/README.md)  |  `树`,`字符串`  |  中等  |  🔒  |
|  [0537](https://leetcode-cn.com/problems/complex-number-multiplication)  |  [复数乘法](leetcode/0500-0599/0537.Complex%20Number%20Multiplication/README.md)  |  `数学`,`字符串`  |  中等  |    |
|  [0538](https://leetcode-cn.com/problems/convert-bst-to-greater-tree)  |  [把二叉搜索树转换为累加树](leetcode/0500-0599/0538.Convert%20BST%20to%20Greater%20Tree/README.md)  |  `树`  |  中等  |    |
|  [0539](https://leetcode-cn.com/problems/minimum-time-difference)  |  [最小时间差](leetcode/0500-0599/0539.Minimum%20Time%20Difference/README.md)  |  `字符串`  |  中等  |    |
|  [0540](https://leetcode-cn.com/problems/single-element-in-a-sorted-array)  |  [有序数组中的单一元素](leetcode/0500-0599/0540.Single%20Element%20in%20a%20Sorted%20Array/README.md)  |  `二分查找`  |  中等  |    |
|  [0541](https://leetcode-cn.com/problems/reverse-string-ii)  |  [反转字符串 II](leetcode/0500-0599/0541.Reverse%20String%20II/README.md)  |  `字符串`  |  简单  |    |
|  [0542](https://leetcode-cn.com/problems/01-matrix)  |  [01 矩阵](leetcode/0500-0599/0542.01%20Matrix/README.md)  |  `深度优先搜索`,`广度优先搜索`  |  中等  |    |
|  [0543](https://leetcode-cn.com/problems/diameter-of-binary-tree)  |  [二叉树的直径](leetcode/0500-0599/0543.Diameter%20of%20Binary%20Tree/README.md)  |  `树`  |  简单  |    |
|  [0544](https://leetcode-cn.com/problems/output-contest-matches)  |  [输出比赛匹配对](leetcode/0500-0599/0544.Output%20Contest%20Matches/README.md)  |  `递归`,`字符串`  |  中等  |  🔒  |
|  [0545](https://leetcode-cn.com/problems/boundary-of-binary-tree)  |  [二叉树的边界](leetcode/0500-0599/0545.Boundary%20of%20Binary%20Tree/README.md)  |  `树`  |  中等  |  🔒  |
|  [0546](https://leetcode-cn.com/problems/remove-boxes)  |  [移除盒子](leetcode/0500-0599/0546.Remove%20Boxes/README.md)  |  `深度优先搜索`,`动态规划`  |  困难  |    |
|  [0547](https://leetcode-cn.com/problems/friend-circles)  |  [朋友圈](leetcode/0500-0599/0547.Friend%20Circles/README.md)  |  `深度优先搜索`,`并查集`  |  中等  |    |
|  [0548](https://leetcode-cn.com/problems/split-array-with-equal-sum)  |  [将数组分割成和相等的子数组](leetcode/0500-0599/0548.Split%20Array%20with%20Equal%20Sum/README.md)  |  `数组`  |  中等  |  🔒  |
|  [0549](https://leetcode-cn.com/problems/binary-tree-longest-consecutive-sequence-ii)  |  [二叉树中最长的连续序列](leetcode/0500-0599/0549.Binary%20Tree%20Longest%20Consecutive%20Sequence%20II/README.md)  |  `树`  |  中等  |  🔒  |
|  [0550](https://leetcode-cn.com/problems/game-play-analysis-iv)  |  [游戏玩法分析 IV](leetcode/0500-0599/0550.Game%20Play%20Analysis%20IV/README.md)  |    |  中等  |  🔒  |
|  [0551](https://leetcode-cn.com/problems/student-attendance-record-i)  |  [学生出勤记录 I](leetcode/0500-0599/0551.Student%20Attendance%20Record%20I/README.md)  |  `字符串`  |  简单  |    |
|  [0552](https://leetcode-cn.com/problems/student-attendance-record-ii)  |  [学生出勤记录 II](leetcode/0500-0599/0552.Student%20Attendance%20Record%20II/README.md)  |  `动态规划`  |  困难  |    |
|  [0553](https://leetcode-cn.com/problems/optimal-division)  |  [最优除法](leetcode/0500-0599/0553.Optimal%20Division/README.md)  |  `数学`,`字符串`  |  中等  |    |
|  [0554](https://leetcode-cn.com/problems/brick-wall)  |  [砖墙](leetcode/0500-0599/0554.Brick%20Wall/README.md)  |  `哈希表`  |  中等  |    |
|  [0555](https://leetcode-cn.com/problems/split-concatenated-strings)  |  [分割连接字符串](leetcode/0500-0599/0555.Split%20Concatenated%20Strings/README.md)  |  `字符串`  |  中等  |  🔒  |
|  [0556](https://leetcode-cn.com/problems/next-greater-element-iii)  |  [下一个更大元素 III](leetcode/0500-0599/0556.Next%20Greater%20Element%20III/README.md)  |  `字符串`  |  中等  |    |
|  [0557](https://leetcode-cn.com/problems/reverse-words-in-a-string-iii)  |  [反转字符串中的单词 III](leetcode/0500-0599/0557.Reverse%20Words%20in%20a%20String%20III/README.md)  |  `字符串`  |  简单  |    |
|  [0558](https://leetcode-cn.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees)  |  [四叉树交集](leetcode/0500-0599/0558.Logical%20OR%20of%20Two%20Binary%20Grids%20Represented%20as%20Quad-Trees/README.md)  |    |  中等  |    |
|  [0559](https://leetcode-cn.com/problems/maximum-depth-of-n-ary-tree)  |  [N 叉树的最大深度](leetcode/0500-0599/0559.Maximum%20Depth%20of%20N-ary%20Tree/README.md)  |  `树`,`深度优先搜索`,`广度优先搜索`  |  简单  |    |
|  [0560](https://leetcode-cn.com/problems/subarray-sum-equals-k)  |  [和为K的子数组](leetcode/0500-0599/0560.Subarray%20Sum%20Equals%20K/README.md)  |  `数组`,`哈希表`  |  中等  |    |
|  [0561](https://leetcode-cn.com/problems/array-partition-i)  |  [数组拆分 I](leetcode/0500-0599/0561.Array%20Partition%20I/README.md)  |  `数组`  |  简单  |    |
|  [0562](https://leetcode-cn.com/problems/longest-line-of-consecutive-one-in-matrix)  |  [矩阵中最长的连续1线段](leetcode/0500-0599/0562.Longest%20Line%20of%20Consecutive%20One%20in%20Matrix/README.md)  |  `数组`  |  中等  |  🔒  |
|  [0563](https://leetcode-cn.com/problems/binary-tree-tilt)  |  [二叉树的坡度](leetcode/0500-0599/0563.Binary%20Tree%20Tilt/README.md)  |  `树`,`深度优先搜索`,`递归`  |  简单  |    |
|  [0564](https://leetcode-cn.com/problems/find-the-closest-palindrome)  |  [寻找最近的回文数](leetcode/0500-0599/0564.Find%20the%20Closest%20Palindrome/README.md)  |  `字符串`  |  困难  |    |
|  [0565](https://leetcode-cn.com/problems/array-nesting)  |  [数组嵌套](leetcode/0500-0599/0565.Array%20Nesting/README.md)  |  `数组`  |  中等  |    |
|  [0566](https://leetcode-cn.com/problems/reshape-the-matrix)  |  [重塑矩阵](leetcode/0500-0599/0566.Reshape%20the%20Matrix/README.md)  |  `数组`  |  简单  |    |
|  [0567](https://leetcode-cn.com/problems/permutation-in-string)  |  [字符串的排列](leetcode/0500-0599/0567.Permutation%20in%20String/README.md)  |  `双指针`,`None`  |  中等  |    |
|  [0568](https://leetcode-cn.com/problems/maximum-vacation-days)  |  [最大休假天数](leetcode/0500-0599/0568.Maximum%20Vacation%20Days/README.md)  |  `动态规划`  |  困难  |  🔒  |
|  [0569](https://leetcode-cn.com/problems/median-employee-salary)  |  [员工薪水中位数](leetcode/0500-0599/0569.Median%20Employee%20Salary/README.md)  |    |  困难  |  🔒  |
|  [0570](https://leetcode-cn.com/problems/managers-with-at-least-5-direct-reports)  |  [至少有5名直接下属的经理](leetcode/0500-0599/0570.Managers%20with%20at%20Least%205%20Direct%20Reports/README.md)  |    |  中等  |  🔒  |
|  [0571](https://leetcode-cn.com/problems/find-median-given-frequency-of-numbers)  |  [给定数字的频率查询中位数](leetcode/0500-0599/0571.Find%20Median%20Given%20Frequency%20of%20Numbers/README.md)  |    |  困难  |  🔒  |
|  [0572](https://leetcode-cn.com/problems/subtree-of-another-tree)  |  [另一个树的子树](leetcode/0500-0599/0572.Subtree%20of%20Another%20Tree/README.md)  |  `树`  |  简单  |    |
|  [0573](https://leetcode-cn.com/problems/squirrel-simulation)  |  [松鼠模拟](leetcode/0500-0599/0573.Squirrel%20Simulation/README.md)  |  `数学`  |  中等  |  🔒  |
|  [0574](https://leetcode-cn.com/problems/winning-candidate)  |  [当选者](leetcode/0500-0599/0574.Winning%20Candidate/README.md)  |    |  中等  |  🔒  |
|  [0575](https://leetcode-cn.com/problems/distribute-candies)  |  [分糖果](leetcode/0500-0599/0575.Distribute%20Candies/README.md)  |  `哈希表`  |  简单  |    |
|  [0576](https://leetcode-cn.com/problems/out-of-boundary-paths)  |  [出界的路径数](leetcode/0500-0599/0576.Out%20of%20Boundary%20Paths/README.md)  |  `深度优先搜索`,`动态规划`  |  中等  |    |
|  [0577](https://leetcode-cn.com/problems/employee-bonus)  |  [员工奖金](leetcode/0500-0599/0577.Employee%20Bonus/README.md)  |    |  简单  |  🔒  |
|  [0578](https://leetcode-cn.com/problems/get-highest-answer-rate-question)  |  [查询回答率最高的问题](leetcode/0500-0599/0578.Get%20Highest%20Answer%20Rate%20Question/README.md)  |    |  中等  |  🔒  |
|  [0579](https://leetcode-cn.com/problems/find-cumulative-salary-of-an-employee)  |  [查询员工的累计薪水](leetcode/0500-0599/0579.Find%20Cumulative%20Salary%20of%20an%20Employee/README.md)  |    |  困难  |  🔒  |
|  [0580](https://leetcode-cn.com/problems/count-student-number-in-departments)  |  [统计各专业学生人数](leetcode/0500-0599/0580.Count%20Student%20Number%20in%20Departments/README.md)  |    |  中等  |  🔒  |
|  [0581](https://leetcode-cn.com/problems/shortest-unsorted-continuous-subarray)  |  [最短无序连续子数组](leetcode/0500-0599/0581.Shortest%20Unsorted%20Continuous%20Subarray/README.md)  |  `数组`  |  中等  |    |
|  [0582](https://leetcode-cn.com/problems/kill-process)  |  [杀死进程](leetcode/0500-0599/0582.Kill%20Process/README.md)  |  `树`,`队列`  |  中等  |  🔒  |
|  [0583](https://leetcode-cn.com/problems/delete-operation-for-two-strings)  |  [两个字符串的删除操作](leetcode/0500-0599/0583.Delete%20Operation%20for%20Two%20Strings/README.md)  |  `字符串`  |  中等  |    |
|  [0584](https://leetcode-cn.com/problems/find-customer-referee)  |  [寻找用户推荐人](leetcode/0500-0599/0584.Find%20Customer%20Referee/README.md)  |    |  简单  |  🔒  |
|  [0585](https://leetcode-cn.com/problems/investments-in-2016)  |  [2016年的投资](leetcode/0500-0599/0585.Investments%20in%202016/README.md)  |    |  中等  |  🔒  |
|  [0586](https://leetcode-cn.com/problems/customer-placing-the-largest-number-of-orders)  |  [订单最多的客户](leetcode/0500-0599/0586.Customer%20Placing%20the%20Largest%20Number%20of%20Orders/README.md)  |    |  简单  |  🔒  |
|  [0587](https://leetcode-cn.com/problems/erect-the-fence)  |  [安装栅栏](leetcode/0500-0599/0587.Erect%20the%20Fence/README.md)  |  `几何`  |  困难  |    |
|  [0588](https://leetcode-cn.com/problems/design-in-memory-file-system)  |  [设计内存文件系统](leetcode/0500-0599/0588.Design%20In-Memory%20File%20System/README.md)  |  `设计`  |  困难  |  🔒  |
|  [0589](https://leetcode-cn.com/problems/n-ary-tree-preorder-traversal)  |  [N叉树的前序遍历](leetcode/0500-0599/0589.N-ary%20Tree%20Preorder%20Traversal/README.md)  |  `树`  |  简单  |    |
|  [0590](https://leetcode-cn.com/problems/n-ary-tree-postorder-traversal)  |  [N叉树的后序遍历](leetcode/0500-0599/0590.N-ary%20Tree%20Postorder%20Traversal/README.md)  |  `树`  |  简单  |    |
|  [0591](https://leetcode-cn.com/problems/tag-validator)  |  [标签验证器](leetcode/0500-0599/0591.Tag%20Validator/README.md)  |  `栈`,`字符串`  |  困难  |    |
|  [0592](https://leetcode-cn.com/problems/fraction-addition-and-subtraction)  |  [分数加减运算](leetcode/0500-0599/0592.Fraction%20Addition%20and%20Subtraction/README.md)  |  `数学`  |  中等  |    |
|  [0593](https://leetcode-cn.com/problems/valid-square)  |  [有效的正方形](leetcode/0500-0599/0593.Valid%20Square/README.md)  |  `数学`  |  中等  |    |
|  [0594](https://leetcode-cn.com/problems/longest-harmonious-subsequence)  |  [最长和谐子序列](leetcode/0500-0599/0594.Longest%20Harmonious%20Subsequence/README.md)  |  `哈希表`  |  简单  |    |
|  [0595](https://leetcode-cn.com/problems/big-countries)  |  [大的国家](leetcode/0500-0599/0595.Big%20Countries/README.md)  |    |  简单  |    |
|  [0596](https://leetcode-cn.com/problems/classes-more-than-5-students)  |  [超过5名学生的课](leetcode/0500-0599/0596.Classes%20More%20Than%205%20Students/README.md)  |    |  简单  |    |
|  [0597](https://leetcode-cn.com/problems/friend-requests-i-overall-acceptance-rate)  |  [好友申请 I ：总体通过率](leetcode/0500-0599/0597.Friend%20Requests%20I%3A%20Overall%20Acceptance%20Rate/README.md)  |    |  简单  |  🔒  |
|  [0598](https://leetcode-cn.com/problems/range-addition-ii)  |  [范围求和 II](leetcode/0500-0599/0598.Range%20Addition%20II/README.md)  |  `数学`  |  简单  |    |
|  [0599](https://leetcode-cn.com/problems/minimum-index-sum-of-two-lists)  |  [两个列表的最小索引总和](leetcode/0500-0599/0599.Minimum%20Index%20Sum%20of%20Two%20Lists/README.md)  |  `哈希表`  |  简单  |    |
|  [0600](https://leetcode-cn.com/problems/non-negative-integers-without-consecutive-ones)  |  [不含连续1的非负整数](leetcode/0600-0699/0600.Non-negative%20Integers%20without%20Consecutive%20Ones/README.md)  |  `动态规划`  |  困难  |    |
|  [0601](https://leetcode-cn.com/problems/human-traffic-of-stadium)  |  [体育馆的人流量](leetcode/0600-0699/0601.Human%20Traffic%20of%20Stadium/README.md)  |    |  困难  |    |
|  [0602](https://leetcode-cn.com/problems/friend-requests-ii-who-has-the-most-friends)  |  [好友申请 II ：谁有最多的好友](leetcode/0600-0699/0602.Friend%20Requests%20II%3A%20Who%20Has%20the%20Most%20Friends/README.md)  |    |  中等  |  🔒  |
|  [0603](https://leetcode-cn.com/problems/consecutive-available-seats)  |  [连续空余座位](leetcode/0600-0699/0603.Consecutive%20Available%20Seats/README.md)  |    |  简单  |  🔒  |
|  [0604](https://leetcode-cn.com/problems/design-compressed-string-iterator)  |  [迭代压缩字符串](leetcode/0600-0699/0604.Design%20Compressed%20String%20Iterator/README.md)  |  `设计`  |  简单  |  🔒  |
|  [0605](https://leetcode-cn.com/problems/can-place-flowers)  |  [种花问题](leetcode/0600-0699/0605.Can%20Place%20Flowers/README.md)  |  `贪心算法`,`数组`  |  简单  |    |
|  [0606](https://leetcode-cn.com/problems/construct-string-from-binary-tree)  |  [根据二叉树创建字符串](leetcode/0600-0699/0606.Construct%20String%20from%20Binary%20Tree/README.md)  |  `树`,`字符串`  |  简单  |    |
|  [0607](https://leetcode-cn.com/problems/sales-person)  |  [销售员](leetcode/0600-0699/0607.Sales%20Person/README.md)  |    |  简单  |  🔒  |
|  [0608](https://leetcode-cn.com/problems/tree-node)  |  [树节点](leetcode/0600-0699/0608.Tree%20Node/README.md)  |    |  中等  |  🔒  |
|  [0609](https://leetcode-cn.com/problems/find-duplicate-file-in-system)  |  [在系统中查找重复文件](leetcode/0600-0699/0609.Find%20Duplicate%20File%20in%20System/README.md)  |  `哈希表`,`字符串`  |  中等  |    |
|  [0610](https://leetcode-cn.com/problems/triangle-judgement)  |  [判断三角形](leetcode/0600-0699/0610.Triangle%20Judgement/README.md)  |    |  简单  |  🔒  |
|  [0611](https://leetcode-cn.com/problems/valid-triangle-number)  |  [有效三角形的个数](leetcode/0600-0699/0611.Valid%20Triangle%20Number/README.md)  |  `数组`  |  中等  |    |
|  [0612](https://leetcode-cn.com/problems/shortest-distance-in-a-plane)  |  [平面上的最近距离](leetcode/0600-0699/0612.Shortest%20Distance%20in%20a%20Plane/README.md)  |    |  中等  |  🔒  |
|  [0613](https://leetcode-cn.com/problems/shortest-distance-in-a-line)  |  [直线上的最近距离](leetcode/0600-0699/0613.Shortest%20Distance%20in%20a%20Line/README.md)  |    |  简单  |  🔒  |
|  [0614](https://leetcode-cn.com/problems/second-degree-follower)  |  [二级关注者](leetcode/0600-0699/0614.Second%20Degree%20Follower/README.md)  |    |  中等  |  🔒  |
|  [0615](https://leetcode-cn.com/problems/average-salary-departments-vs-company)  |  [平均工资：部门与公司比较](leetcode/0600-0699/0615.Average%20Salary%3A%20Departments%20VS%20Company/README.md)  |    |  困难  |  🔒  |
|  [0616](https://leetcode-cn.com/problems/add-bold-tag-in-string)  |  [给字符串添加加粗标签](leetcode/0600-0699/0616.Add%20Bold%20Tag%20in%20String/README.md)  |  `字符串`  |  中等  |  🔒  |
|  [0617](https://leetcode-cn.com/problems/merge-two-binary-trees)  |  [合并二叉树](leetcode/0600-0699/0617.Merge%20Two%20Binary%20Trees/README.md)  |  `树`  |  简单  |    |
|  [0618](https://leetcode-cn.com/problems/students-report-by-geography)  |  [学生地理信息报告](leetcode/0600-0699/0618.Students%20Report%20By%20Geography/README.md)  |    |  困难  |  🔒  |
|  [0619](https://leetcode-cn.com/problems/biggest-single-number)  |  [只出现一次的最大数字](leetcode/0600-0699/0619.Biggest%20Single%20Number/README.md)  |    |  简单  |  🔒  |
|  [0620](https://leetcode-cn.com/problems/not-boring-movies)  |  [有趣的电影](leetcode/0600-0699/0620.Not%20Boring%20Movies/README.md)  |    |  简单  |    |
|  [0621](https://leetcode-cn.com/problems/task-scheduler)  |  [任务调度器](leetcode/0600-0699/0621.Task%20Scheduler/README.md)  |  `贪心算法`,`队列`,`数组`  |  中等  |    |
|  [0622](https://leetcode-cn.com/problems/design-circular-queue)  |  [设计循环队列](leetcode/0600-0699/0622.Design%20Circular%20Queue/README.md)  |  `设计`,`队列`  |  中等  |    |
